No,제목,학과,과정,년도,href
26,"새로운 세상에 눈뜨게 된, 값진 경험!",경영학과,학부,2005,/partner/expReport.asp?id=1696&page=9&bgbn=R
25,너무나 소중한 헤이그에서의 1년,정치외교학과,학부,2004,/partner/expReport.asp?id=1491&page=9&bgbn=R
24,HEBO에서의 1년,중어중문학전공,학부,2003-2004,/partner/expReport.asp?id=1486&page=9&bgbn=R
23,1년보다 더 큰 가치 HEBO!,영어영문학전공,학부,2003-2004,/partner/expReport.asp?id=1369&page=10&bgbn=R
22,Do not hesitate to choose HEBO.,상경계열,학부,2003-2004,/partner/expReport.asp?id=1353&page=10&bgbn=R
21,HEBO 교환학생 경험기,경영학전공,학부,2003,/partner/expReport.asp?id=1349&page=10&bgbn=R
20,Haagse Hogeschool(HEBO),신문방송학과,학부,2003,/partner/expReport.asp?id=1187&page=10&bgbn=R
19,The details,경영학전공,학부,2002-2003,/partner/expReport.asp?id=1082&page=10&bgbn=R
18,B the HEBOian!,상경계열,학부,2003,/partner/expReport.asp?id=1036&page=10&bgbn=R
17,HEBO 경험보고서,경영학전공,학부,2002,/partner/expReport.asp?id=870&page=10&bgbn=R
16,Haagse Hogeschool(HEBO) 경험보고서,유럽어문학부,학부,2002,/partner/expReport.asp?id=807&page=10&bgbn=R
15,hebo에 다녀와서,유럽어문학부,학부,2002,/partner/expReport.asp?id=794&page=10&bgbn=R
14,HEBO 경험보고서,인문학부,학부,2002,/partner/expReport.asp?id=739&page=10&bgbn=R
13,HEBO - 진경아,화학공학전공,학부,2002,/partner/expReport.asp?id=706&page=11&bgbn=R
12,HEBO - 김선영,인문학부,학부,2001-2002,/partner/expReport.asp?id=703&page=11&bgbn=R
11,Haagse Hogeschool - 김효진,영어영문학전공,학부,2001-2002,/partner/expReport.asp?id=683&page=11&bgbn=R
10,Haagse Hogeschool (HEBO) - 조태진,정치외교학과,학부,2002,/partner/expReport.asp?id=656&page=11&bgbn=R
9,Haagse Hogeschool (HEBO) - 석상구,상경계열,학부,2002,/partner/expReport.asp?id=631&page=11&bgbn=R
8,Haagse Hogeschool (HEBO) - 전현석,영어영문학전공,학부,2001,/partner/expReport.asp?id=607&page=11&bgbn=R
7,Haagse Hogeschool (HEBO) - 조장은,사회학전공,학부,2000,/partner/expReport.asp?id=554&page=11&bgbn=R
6,Haagse Hogeschool (HEBO) - 권병돈,경영학전공,학부,2001,/partner/expReport.asp?id=536&page=11&bgbn=R
5,Haagse Hogeschool (HEBO) - 이해연,영어영문학전공,학부,2001,/partner/expReport.asp?id=525&page=11&bgbn=R
4,Haagse Hogeschool (HEBO) - 유승민,신문방송학과,학부,2001,/partner/expReport.asp?id=524&page=11&bgbn=R
3,Haagse Hogeschool(HEBO) - 강재원,사회환경시스템공학부,학부,2001,/partner/expReport.asp?id=521&page=12&bgbn=R
2,Haagse Hogeschool - 유주은,유럽어문학부,학부,2001,/partner/expReport.asp?id=441&page=12&bgbn=R
1,HEBO-박세린,노어노문학전공,학부,2000,/partner/expReport.asp?id=221&page=12&bgbn=R
